,股票代码,质押日期,股东名称,质押方,质押股数(万股),占所持股比例(%),占总股本比例(%),冻结事由,冻结期限,状态,预警线(估算),平仓线(估算),质押日收盘价(前复权)(元),最新收盘价(元),质押股数(万股).1,占所持股比例(%).1,占总股本比例(%).1,解除日期,公告日期,平仓日
149,000638.SZ,2016/8/3,北京万方源房地产开发有限公司,中国银河证券股份有限公司,555,4.76,1.79,"2016年8月4日,公司接到控股股东北京万方源的通知,北京万方源于2016年8月3日将其所持有的公司部分无限售条件流通股质押给银河证券","质押开始日期2016年8月3日,质押到期日质权人申请解除质押登记为止",已到平仓线,11.39,9.97,17.8,4.73,"10,224.00",87.68,33.04,--,2016/8/5,20180201
150,000639.SZ,2017/9/28,山东永华投资有限公司,开源证券股份有限公司,840,5.17,1.09,"山东永华投资有限公司质押给开源证券股份有限公司6,000,000股用于融资","质押开始日期2017年9月28日,质押截止日期2018年9月27日。
延期至2019年9月27日",已到平仓线,6.72,5.88,10.49,5.15,"16,237.86",100,21.06,2019/9/27,2018/9/29,20190717
151,000639.SZ,2017/9/28,西王集团有限公司,开源证券股份有限公司,"1,260.00",5.5,1.63,"西王集团有限公司质押给开源证券股份有限公司9,000,000股用于融资","质押开始日期2017年9月28日,质押截止日期2018年9月27日。
现延期至2019年9月27日",已到平仓线,6.72,5.88,10.49,5.15,"21,146.17",92.36,27.42,2019/9/27,2018/9/29,20190717
152,000639.SZ,2017/9/28,西王集团有限公司,开源证券股份有限公司,180,0.79,0.23,"西王集团有限公司质押给开源证券股份有限公司1,800,000股用于融资",质押期限从2017年9月28日至2019年9月27日,已到平仓线,6.72,5.88,10.49,5.15,"21,146.17",92.36,27.42,2019/9/27,2018/9/29,20190717
153,000662.SZ,2018/11/14,广西索芙特科技股份有限公司,五矿证券有限公司,"1,140.00",13.98,1.04,"广西索芙特科技股份有限公司补充质押11,400,000股给五矿证券有限公司",质押冻结起始日2018/11/14至预计解除日期2019/11/13,已到平仓线,4.91,4.3,7.67,4.01,"7,296.41",89.48,6.67,2019/11/13,2018/11/17,20190729
154,000662.SZ,2018/11/14,广西索芙特科技股份有限公司,五矿证券有限公司,"1,141.00",13.99,1.04,"广西索芙特科技股份有限公司补充质押11,410,000股给五矿证券有限公司",质押冻结起始日2018/11/14至预计解除日期2019/11/01,已到平仓线,4.91,4.3,7.67,4.01,"7,296.41",89.48,6.67,2019/11/1,2018/11/17,20190729
155,000662.SZ,2018/2/27,广西索芙特科技股份有限公司,五矿证券有限公司,39,0.48,0.04,广西索芙特科技股份有限公司将390000股质押给五矿证券有限公司用于补充质押,"质押期限从2018年2月27日至2018年11月13日,延期至2019/11/13",已到平仓线,5.68,4.97,8.88,4.01,"7,296.41",89.48,6.67,2019/11/13,2018/11/17,20190604
156,000662.SZ,2018/2/27,广西索芙特科技股份有限公司,五矿证券有限公司,149.91,1.84,0.14,"广西索芙特科技股份有限公司将1,499,112股质押给五矿证券有限公司用于补充质押","质押期限从2018年2月27日至2018年11月01日,延期至2019/11/01",已到平仓线,5.68,4.97,8.88,4.01,"7,296.41",89.48,6.67,2019/11/1,2018/11/17,20190604
157,000662.SZ,2017/11/13,广西索芙特科技股份有限公司,五矿证券有限公司,"1,102.05",13.52,1.01,广西索芙特科技股份有限公司将11020545股质押给五矿证券有限公司用于置换原到期质押回购款,质押开始日期2017年11月13日质押到期日2018年11月13日,已到平仓线,8.07,7.06,12.61,4.01,"7,296.41",89.48,6.67,2019/11/13,2018/11/17,20180615
158,000662.SZ,2017/11/13,广西索芙特科技股份有限公司,五矿证券有限公司,"1,043.91",12.8,0.96,广西索芙特科技股份有限公司将10439056股质押给五矿证券有限公司,"质押冻结起始日2017/11/13,延期至2019/11/13",已到平仓线,8.07,7.06,12.61,4.01,"7,296.41",89.48,6.67,2019/11/13,2018/11/17,20180615
159,000662.SZ,2017/11/1,广西索芙特科技股份有限公司,五矿证券有限公司,"1,466.08",17.98,1.34,"索芙特科技质押14660772股给五矿证券有限公司,用途置换原到期质押回购款。","质押开始日期2017年11月01日,质押到期日2018年11月01日,延期至2019/11/01",已到平仓线,8.0,7.0,12.5,4.01,"7,296.41",89.48,6.67,2019/11/1,2018/11/17,20180615
160,000662.SZ,2017/11/1,广西索芙特科技股份有限公司,五矿证券有限公司,"1,214.47",14.89,1.11,"广西索芙特科技股份有限公司将12,144,654股质押给五矿证券有限公司","质押冻结起始日2017/11/01,延期至2019/11/01",已到平仓线,8.0,7.0,12.5,4.01,"7,296.41",89.48,6.67,2019/11/1,2018/11/17,20180615
161,000662.SZ,2017/4/19,西藏朝阳投资有限公司,华融证券股份有限公司,"4,700.00",35.37,5.59,质押给华融证券股份有限公司补充日常流动资金,质押期限为自2017年4月19日至2020年4月19日。,已到平仓线,9.36,8.19,14.63,4.01,"13,200.00",99.34,15.7,2020/4/19,2017/4/19,20180615
162,000662.SZ,2017/4/17,西藏朝阳投资有限公司,华融证券股份有限公司,"4,500.00",33.87,5.35,质押给华融证券股份有限公司补充日常流动资金,质押期限为自2017年4月17日至2020年4月16日。,已到平仓线,9.19,8.04,14.36,4.01,"13,200.00",99.34,15.7,2020/4/16,2017/4/19,20180615
163,000662.SZ,2017/4/7,西藏朝阳投资有限公司,长江证券股份有限公司,"4,000.00",30.1,4.76,补充日常流动资金,"质押开始日期2017年4月7日,质押到期日2019年10月7日",已到平仓线,9.44,8.26,14.75,4.01,"13,200.00",99.34,15.7,2019/10/7,2017/4/8,20180615
164,000662.SZ,2016/10/20,锦州恒越投资有限公司,第一创业证券股份有限公司,"5,428.44",39.35,6.46,质押给第一创业证券股份有限公司,质押初始交易日(逐笔列示)2016年10月20日质押购回交易日2019年10月22日,已到平仓线,12.71,11.12,19.86,4.01,"13,794.69",100,16.41,2019/10/22,2016/10/22,20180528
165,000662.SZ,2016/9/27,北京浩泽嘉业投资有限公司,太平洋证券股份有限公司,"5,087.79",64.4,6.05,质押给太平洋证券股份有限公司,"质押初始交易日2016年9月27日,质押购回交易日2019年9月4日",已到平仓线,12.91,11.29,20.17,4.01,"6,587.79",83.39,7.83,2019/9/4,2016/9/28,20180525
166,000662.SZ,2016/9/26,北京浩泽嘉业投资有限公司,江海证券有限公司,"1,500.00",18.99,1.78,质押给江海证券有限公司,"质押初始交易日2016年9月26日,质押购回交易日2019年9月25日",已到平仓线,12.81,11.21,20.01,4.01,"6,587.79",83.39,7.83,2019/9/25,2016/9/28,20180528
167,000662.SZ,2016/7/6,成都市川宏燃料有限公司,安信信托股份有限公司,320,4.71,0.38,质押给安信信托股份有限公司,"质押开始日期2016年7月6日,质押到期日2021年7月6日",已到平仓线,10.96,9.59,17.13,4.01,"6,800.00",100,8.09,2021/7/6,2016/7/9,20180531
168,000663.SZ,2016/12/6,苏加旭,兴业证券股份有限公司,"1,343.34",24.97,3.94,苏加旭将13433391股股份质押给天风证券股份有限公司用于融资。,冻结日期从2016年12月6日至2019年9月20日止,已到平仓线,9.27,8.11,14.48,5.78,"5,380.54",100,15.78,2019/9/20,2017/12/16,20180613
169,000673.SZ,2017/3/1,鹰潭市当代投资集团有限公司,广州证券股份有限公司,"3,639.36",42.62,4.6,"当代集团将持有的本公司46,193,644股无限售条件流通股股份(占公司总股本的5.82%)与广州证券股份有限公司进行了股票质押式回购交易,初始交易日为2017年3月1日,回购交易日为2018年3月1日。","初始交易日为2017年3月1日,回购交易日为2018年3月1日",已到平仓线,8.66,7.58,13.53,2.9,"8,540.00",100,10.79,--,2018/4/10,20180814
170,000676.SZ,2016/6/23,智度集团有限公司,华泰证券(上海)资产管理有限公司,"5,327.03",76.5,5.52,西藏智度投资有限公司将所持有的部分有限售条件的公司股份质押给华泰证券(上海)资产管理有限公司,"冻结起始日2016年6月23日,解冻日期至办理解除质押登记之日止",已到平仓线,8.95,7.83,13.98,5.92,"5,327.03",76.5,5.52,--,2016/6/24,20190705
171,000677.SZ,2016/12/29,兴乐集团有限公司,上海聚品融资租赁有限公司,"20,000.00",100.0,23.15,融资,"质押开始日期2016年12月29日,质押到期日2017年12月21日
因上述融资展期,兴乐集团将上述股份继续质押给上海聚品融资租赁有限公司,质押到期日至办理解除质押登记之日。",已到平仓线,4.68,4.1,7.32,3.05,"20,000.00",100,23.15,--,2017/12/25,20171120
172,000687.SZ,2017/3/23,华讯方舟科技有限公司,长城新盛信托有限责任公司,"7,999.60",35.44,10.56,质押给长城新盛信托有限责任公司,"质押开始日期2017年3月23日,质押截止日期2020年12月28日。",已到平仓线,11.25,9.84,17.58,7.67,"22,569.58",100,29.8,2020/12/28,2017/3/25,20180201
173,000687.SZ,2016/7/29,华讯方舟科技有限公司,民生金融租赁股份有限公司,"1,000.00",4.43,1.32,质押给民生金融租赁股份有限公司,"质押起始日2016-07-29,解冻日期2021-08-15",已到平仓线,12.18,10.66,19.03,7.67,"22,569.58",100,29.8,2021/8/15,2016/8/2,20171221
174,000691.SZ,2016/12/20,兰州亚太工贸集团有限公司,交通银行股份有限公司甘肃省分行,"1,750.00",63.74,5.41,补充流动资金,质押开始日期2016-12-20质押到期日2019-12-20,已到平仓线,6.6,5.77,10.31,3.71,"2,500.00",91.06,7.73,2019/12/20,2016/12/24,20180208
175,000691.SZ,2016/12/20,兰州亚太工贸集团有限公司,交通银行股份有限公司甘肃省分行,250,9.11,0.77,补充流动资金,质押开始日期2016-12-20质押到期日2019-12-20,已到平仓线,6.6,5.77,10.31,3.71,"2,500.00",91.06,7.73,2019/12/20,2016/12/24,20180208
176,000692.SZ,2016/11/8,沈阳供暖集团有限公司,兴业国际信托有限公司,"9,300.00",49.72,17.45,质押给兴业国际信托有限公司,质押开始日期2016年11月8日,已到平仓线,4.01,3.51,6.26,2.77,"9,300.00",49.72,17.45,--,2016/11/11,20180611
177,000697.SZ,2016/10/13,张政,开源证券股份有限公司,450,3.2,0.8,"张政先生用同等数量股份(股份性质:无限售流通股)作了质押,以置换前述质押的股份","质押期限为2016年10月13日起,至向中国证券登记结算有限责任公司深圳分公司办理解除质押登记之日止。",已到平仓线,15.29,13.38,23.89,10.9,"11,783.00",83.73,21.05,--,2016/10/17,20181018
178,000697.SZ,2016/10/12,张政,开源证券股份有限公司,"5,683.00",40.38,10.15,"控股股东张政先生将其持有公司的56,830,000股(占公司股份总数的10.15%)股份在开源证券股份有限公司办理了股票质押式回购交易业务",质押期限从2016年10月12日至办理解除质押登记之日,已到平仓线,15.09,13.2,23.58,10.9,"11,783.00",83.73,21.05,--,2016/10/14,20181018
179,000700.SZ,2016/1/18,江阴模塑集团有限公司,交通银行股份有限公司无锡分行,"1,400.00",11.47,3.9,"江阴模塑集团有限公司于2016年1月18日将其所持有的1400万股“模塑科技”股份(占本公司总股本的3.90%)质押给交通银行股份有限公司无锡分行,本次股权质押登记手续已在中国证券登记结算公司深圳分公司办理完毕。",质押起始日2016-01-18,已到平仓线,5.51,4.82,8.61,3.36,"9,400.00",77,26.21,--,2016/1/26,20180206
180,000700.SZ,2016/1/11,江阴模塑集团有限公司,江苏银行股份有限公司江阴支行,700,5.73,1.95,"近日,公司接到控股股东江阴模塑集团有限公司通知:江阴模塑集团有限公司于2016年1月11日将其所持有的700万股“模塑科技”股份(占本公司总股本的1.95%)质押给江苏银行股份有限公司江阴支行",质押起始日2016-01-11,已到平仓线,5.23,4.57,8.17,3.36,"8,000.00",65.53,22.31,--,2016/1/13,20180420
181,000711.SZ,2018/10/15,乌力吉,国泰君安证券股份有限公司,112,1.94,0.13,"乌力吉质押1,120,000股给国泰君安证券股份有限公司用于融资",质押期限为2018/10/15至办理解除质押登记手续之日,已到平仓线,6.41,5.61,10.02,4.74,"5,760.00",99.63,6.57,--,2018/10/17,20181226
182,000711.SZ,2018/10/15,乌力吉,国泰君安证券股份有限公司,128,2.21,0.15,"乌力吉质押1,280,000股给国泰君安证券股份有限公司用于融资",质押期限为2018/10/15至办理解除质押登记手续之日,已到平仓线,6.41,5.61,10.02,4.74,"5,760.00",99.63,6.57,--,2018/10/17,20181226
183,000711.SZ,2018/9/3,乌力吉,国泰君安证券股份有限公司,192,3.32,0.22,"乌力吉质押1,920,000股给国泰君安证券股份有限公司用于融资",冻结期限是2018年9月3日至办理解除质押登记手续之日,已到平仓线,6.41,5.61,10.02,4.74,"5,520.00",95.48,6.3,--,2018/9/5,20181226
184,000711.SZ,2018/9/3,乌力吉,国泰君安证券股份有限公司,168,2.91,0.19,"乌力吉质押1,680,000股给国泰君安证券股份有限公司用于融资",冻结期限是2018年9月3日至办理解除质押登记手续之日,已到平仓线,6.41,5.61,10.02,4.74,"5,520.00",95.48,6.3,--,2018/9/5,20181226
185,000711.SZ,2017/11/14,半丁(厦门)资产管理合伙企业(有限合伙),建信信托有限责任公司,"3,027.56",75.47,4.14,"半丁(厦门)资产管理合伙企业(有限合伙)质押30,275,590股给建信信托有限责任公司",质押开始日期:2017年11月14日,已到平仓线,6.81,5.96,10.65,4.74,"3,027.56",75.47,4.14,--,2017/11/16,20181029
186,000711.SZ,2017/11/10,京蓝控股有限公司,浙银汇智(杭州)资本管理有限公司,"1,600.00",26.67,2.19,"京蓝控股有限公司质押给浙银汇智(杭州)资本管理有限公司16,000,000股用于融资",质押开始日期:2017年11月10日,已到平仓线,6.42,5.62,10.04,4.74,"4,168.89",69.48,5.71,--,2017/11/14,20181226
187,000711.SZ,2017/11/10,京蓝控股有限公司,浙银汇智(杭州)资本管理有限公司,400,6.67,0.55,"京蓝控股有限公司质押给浙银汇智(杭州)资本管理有限公司4,000,000股用于融资",质押开始日期:2017年11月10日,已到平仓线,6.42,5.62,10.04,4.74,"4,168.89",69.48,5.71,--,2017/11/14,20181226
188,000711.SZ,2017/11/8,乌力吉,西南证券股份有限公司,800,16.6,1.1,"京蓝控股有限公司质押8,000,000股给西南证券股份有限公司","质押开始日期:2017年11月8日,质押到期日:办理解除质押登记手续之日",已到平仓线,6.72,5.88,10.5,4.74,"4,000.00",83.02,5.48,--,2017/11/10,20181029
189,000711.SZ,2017/9/11,京蓝控股有限公司,建信信托有限责任公司,"1,668.89",27.81,2.56,"京蓝控股有限公司质押给建信信托有限责任公司16,688,918股用于融资",质押开始日期2017年9月11日至办理解除质押登记手续之日.,已到平仓线,7.71,6.75,12.05,4.74,"2,168.89",36.15,3.33,--,2017/9/13,20181025
190,000711.SZ,2017/8/2,北京杨树蓝天投资中心(有限合伙),浙银汇智(杭州)资本管理有限公司,"1,040.00",7.31,1.6,"北京杨树蓝天投资中心(有限合伙)质押给浙银汇智(杭州)资本管理有限公司10,400,000股用于融资",质押开始日期2017年8月2日至办理解除质押登记手续之日。,已到平仓线,7.74,6.77,12.09,4.74,"14,227.94",99.98,21.85,--,2017/8/4,20181025
191,000711.SZ,2017/8/2,北京杨树蓝天投资中心(有限合伙),浙银汇智(杭州)资本管理有限公司,90,0.63,0.14,"北京杨树蓝天投资中心(有限合伙)质押给浙银汇智(杭州)资本管理有限公司900,000股用于融资",质押开始日期2017年8月2日至办理解除质押登记手续之日。,已到平仓线,7.74,6.77,12.09,4.74,"14,227.94",99.98,21.85,--,2017/8/4,20181025
192,000711.SZ,2017/8/2,北京杨树蓝天投资中心(有限合伙),浙银汇智(杭州)资本管理有限公司,170,1.19,0.26,"北京杨树蓝天投资中心(有限合伙)质押给浙银汇智(杭州)资本管理有限公司1,700,000股用于融资",质押开始日期2017年8月2日至办理解除质押登记手续之日。,已到平仓线,7.74,6.77,12.09,4.74,"14,227.94",99.98,21.85,--,2017/8/4,20181025
193,000711.SZ,2017/7/21,京蓝控股有限公司,浙银汇智(杭州)资本管理有限公司,500,8.33,0.77,"京蓝控股有限公司质押给浙银汇智(杭州)资本管理有限公司7,000,000股",质押开始日期2017年7月21日质押截止日期2017年8月3日。,已到平仓线,7.01,6.13,10.95,4.74,500,8.33,0.77,--,2017/8/9,20181026
194,000711.SZ,2017/4/6,乌力吉,国泰君安证券股份有限公司,640,26.57,1.97,质押给国泰君安证券股份有限公司,质押开始日期2017年4月6日至办理解除质押登记手续之日,已到平仓线,8.82,7.72,13.79,4.74,"1,600.00",66.42,4.91,--,2017/4/8,20181024
195,000711.SZ,2017/3/23,乌力吉,国泰君安证券股份有限公司,560,23.25,1.72,融资,质押期限为2017年3月23日至办理解除质押登记手续之日,已到平仓线,8.41,7.36,13.15,4.74,960,39.85,2.95,--,2017/3/25,20181024
196,000711.SZ,2017/3/14,北京杨树蓝天投资中心(有限合伙),浙银汇智(杭州)资本管理有限公司,"1,292.79",20.0,3.97,质押给浙银汇智(杭州)资本管理有限公司用于融资,2017年3月14日起至办理解除质押登记手续之日,已到平仓线,7.86,6.88,12.28,4.74,"6,463.97",100,19.85,--,2017/3/16,20181025
197,000711.SZ,2017/1/12,北京杨树蓝天投资中心(有限合伙),浙银汇智(杭州)资本管理有限公司,"5,171.18",80.0,15.88,质押给浙银汇智(杭州)资本管理有限公司,办理解除质押登记手续之日,已到平仓线,8.66,7.57,13.52,4.74,"5,171.18",80,15.88,--,2017/1/14,20181024
198,000711.SZ,2016/12/22,乌力吉,长城证券股份有限公司,400,8.3,0.55,质押给长城证券股份有限公司,质押自2016年12月22日到办理解除质押登记手续之日,已到平仓线,8.66,7.57,13.52,4.74,"4,000.00",83.02,5.48,--,2018/1/4,20181024
199,000711.SZ,2016/11/17,北京杨树嘉业投资中心(有限合伙),浙银汇智(杭州)资本管理有限公司,"1,964.93",50.0,6.04,杨树嘉业所持有本公司的股份被浙银汇智(杭州)资本管理有限公司质押,质押期限自2016年11月17日起至办理解除质押登记之日止。,已到平仓线,8.66,7.57,13.52,4.74,"3,929.87",100,12.07,--,2016/11/22,20181024
200,000711.SZ,2016/11/17,北京杨树嘉业投资中心(有限合伙),浙银汇智(杭州)资本管理有限公司,"1,964.93",50.0,6.04,杨树嘉业所持有本公司的股份被浙银汇智(杭州)资本管理有限公司质押,质押期限自2016年11月17日起至办理解除质押登记之日止。,已到平仓线,8.66,7.57,13.52,4.74,"3,929.87",100,12.07,--,2016/11/22,20181024
201,000712.SZ,2016/1/8,东莞市新世纪科教拓展有限公司,第一创业证券股份有限公司,500,1.31,0.56,质押给第一创业证券股份有限公司,质押起始日2016-01-08,已到平仓线,15.34,13.42,23.96,12.41,"21,830.00",57.13,24.36,--,2016/12/7,20180206
202,000716.SZ,2016/11/18,广西黑五类食品集团有限责任公司,桂林银行股份有限公司南宁分行,"5,958.33",28.59,9.35,"黑五类食品集团本次将其所持公司59,583,334股的股份质押给桂林银行股份有限公司南宁分行","质押登记日为2016年11月18、21、22日,质押期限自质押登记日至2019年11月17日止",已到平仓线,4.86,4.25,7.59,3.26,"20,837.61",99.98,32.63,2019/11/17,2016/12/30,20180613
203,000723.SZ,2019/4/24,美锦能源集团有限公司,谢伟中,"3,000.00",0.99,0.73,美锦能源集团有限公司质押股份给谢伟中用途融资,质押开始日期2019/04/24,已到平仓线,11.71,10.24,18.29,9.2,"300,947.87",98.91,73.56,--,2019/8/2,20190605
204,000766.SZ,2017/11/20,北京晋商联盟投资管理有限公司,中诚信托有限责任公司,"8,000.00",18.01,8.28,"北京晋商联盟投资管理有限公司将所持有的80,000,000股质押给中诚信托有限责任公司用于融资","质押期限从2017年11月20日开始,质押到期日不超过12个月",已到平仓线,8.64,7.56,13.5,7.07,--,--,--,--,2018/8/10,20180815
205,000766.SZ,2017/7/10,北京晋商联盟投资管理有限公司,东证融汇证券资产管理有限公司,0,0.0,0.0,北京晋商将其持有的本公司2100万股质押给东证融汇证券资产管理有限公司融资,"质押开始日期2017年7月10日质押到期日2018年7月9日",已到平仓线,9.83,8.6,15.36,7.07,"40,917.11",92.09,42.34,--,2018/7/24,20180809
206,000766.SZ,2017/3/16,北京晋商联盟投资管理有限公司,财通证券股份有限公司,"7,000.00",15.76,7.24,"北京晋商联盟投资管理有限公司质押70,000,000股给财通证券资产管理有限公司",2017年3月16日开始质押至2020年3月16日质押到期。,已到平仓线,11.42,10.0,17.85,7.07,--,--,--,2020/3/16,2018/8/10,20180808
207,000782.SZ,2018/4/16,青岛昌盛日电新能源控股有限公司,兴业银行股份有限公司青岛分行,"1,584.00",10.53,3.0,"青岛昌盛日电新能源控股有限公司质押给兴业银行股份有限公司青岛分行15,840,000股","质押期间由2018年4月16日起,至办理完成解押手续之日止",已到平仓线,4.41,3.86,6.89,3.82,"9,765.82",64.89,18.49,--,2018/4/18,20190802
208,000782.SZ,2017/6/2,青岛昌盛日电新能源控股有限公司,青岛银行股份有限公司香港中路第二支行,"2,867.85",35.05,5.43,借款担保,"于2017年6月2日办理完成质押手续,质押期间由2017年6月2日起,至办理完成解押手续之日止。",已到平仓线,5.49,4.81,8.58,3.82,"8,181.82",100,15.49,--,2017/6/6,20181011
209,000782.SZ,2017/6/2,青岛昌盛日电新能源控股有限公司,中国建设银行股份有限公司即墨支行,"2,446.11",29.9,4.63,借款担保,"于2017年6月2日办理完成质押手续,质押期间由2017年6月2日起,至办理完成解押手续之日止。",已到平仓线,5.49,4.81,8.58,3.82,"8,181.82",100,15.49,--,2017/6/6,20181011
210,000782.SZ,2017/6/2,青岛昌盛日电新能源控股有限公司,中国银行青岛香港路支行,"2,867.85",35.05,5.43,"青岛昌盛日电新能源控股有限公司质押28,678,538股给中国银行青岛香港路支行借款担保","于2017年6月2日办理完成质押手续,质押期间由2017年6月2日起,至办理完成解押手续之日止。",已到平仓线,5.49,4.81,8.58,3.82,"8,181.82",100,15.49,--,2017/6/8,20181011
211,000782.SZ,2016/8/31,太仓德源投资管理中心(有限合伙),恒泰证券股份有限公司,"1,648.00",29.99,3.12,德源投资将其持有的本公司股票1648万股与恒泰证券股份有限公司进行股票质押式回购交易,"质押期间由2016年8月31日起,至双方办理完成解押手续之日止。",已到平仓线,5.34,4.67,8.34,3.82,"1,648.00",29.99,3.12,--,2016/9/3,20181011
212,000783.SZ,2016/10/25,京汉实业投资集团股份有限公司,交通银行股份有限公司襄阳分行,600,73.71,0.13,"同日,为获得银行流动资金贷款,我公司将所持有的长江证券600万股重新与湖北银行股份有限公司襄阳分行办理了贷款质押,并在中国证券登记结算有限责任公司深圳分公司办理了质押手续",质押自2016年10月25日开始,已到平仓线,8.3,7.27,10.38,7.19,814,100,0.17,--,2016/10/29,20180323
213,000793.SZ,2017/8/14,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,300.00",7.9,0.64,国广环球资产管理有限公司将13000000股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.08.14,已到平仓线,6.69,5.86,10.46,3.05,"16,823.92",102.28,8.39,--,2018/7/19,20180719
214,000793.SZ,2017/8/14,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,300.00",7.9,0.64,国广环球资产管理有限公司将13000000股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.08.14,已到平仓线,6.69,5.86,10.46,3.05,"16,823.92",102.28,8.39,--,2018/7/19,20180719
215,000793.SZ,2017/8/11,国广环球资产管理有限公司,天风证券股份有限公司,"1,200.00",7.3,0.59,国广环球资产管理有限公司将12000000股份质押给天风证券股份有限公司用于借款,质押起始日为2017.08.11,已到平仓线,6.69,5.86,10.46,3.05,"16,823.92",102.28,8.39,--,2018/7/19,20180719
216,000793.SZ,2017/8/7,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,000.00",6.08,0.5,国广环球资产管理有限公司将10000000股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.08.07,已到平仓线,6.72,5.88,10.5,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180719
217,000793.SZ,2017/8/7,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,000.00",6.08,0.5,国广环球资产管理有限公司将10000000股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.08.07,已到平仓线,6.72,5.88,10.5,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180719
218,000793.SZ,2017/8/7,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,000.00",6.08,0.5,国广环球资产管理有限公司将10000000股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.08.07,已到平仓线,6.72,5.88,10.5,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180719
219,000793.SZ,2017/8/1,国广环球资产管理有限公司,中信建投证券股份有限公司,950,5.78,0.47,国广环球资产管理有限公司将9500000股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.08.01,已到平仓线,6.71,5.87,10.49,3.05,"16,823.92",102.28,8.39,--,2018/7/19,20180719
220,000793.SZ,2017/6/21,国广环球资产管理有限公司,中信建投证券股份有限公司,10.47,0.06,0.01,国广环球资产管理有限公司将104663股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.06.21,已到平仓线,6.2,5.43,9.69,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180720
221,000793.SZ,2017/6/21,国广环球资产管理有限公司,中信建投证券股份有限公司,10.47,0.06,0.01,国广环球资产管理有限公司将104663股份质押给中信建投证券股份有限公司用于借款,质押起始日为2017.06.21,已到平仓线,6.2,5.43,9.69,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180720
222,000793.SZ,2017/6/15,国广环球资产管理有限公司,中信建投证券股份有限公司,29.49,0.18,0.01,"国广环球资产管理有限公司将20,000,000.股份质押给中信建投证券股份有限公司用于借款",质押起始日为2017.06.15,已到平仓线,6.28,5.49,9.81,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180720
223,000793.SZ,2017/6/15,国广环球资产管理有限公司,中信建投证券股份有限公司,29.49,0.18,0.01,"国广环球资产管理有限公司将20,000,000.股份质押给中信建投证券股份有限公司用于借款",质押起始日为2017.06.15,已到平仓线,6.28,5.49,9.81,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180720
224,000793.SZ,2016/10/24,国广环球资产管理有限公司,中信建投证券股份有限公司,"2,000.00",12.16,0.99,"国广环球资产管理有限公司将20,000,000.股份质押给中信建投证券股份有限公司用于借款",质押起始日为2016.10.24,已到平仓线,7.12,6.23,11.12,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180718
225,000793.SZ,2016/10/24,国广环球资产管理有限公司,中信建投证券股份有限公司,"2,000.00",12.16,0.99,"国广环球资产管理有限公司将20,000,000.股份质押给中信建投证券股份有限公司用于借款",质押起始日为2016.10.24,已到平仓线,7.12,6.23,11.12,3.05,"15,879.86",96.54,7.87,--,2017/9/1,20180718
226,000793.SZ,2016/10/14,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,500.00",9.12,0.74,国广环球资产管理有限公司将15000000股份质押给中信建投证券股份有限公司用于借款,质押起始日为2016.10.14,已到平仓线,6.92,6.06,10.82,3.05,"16,823.92",102.28,8.39,--,2018/7/19,20180719
227,000793.SZ,2016/10/11,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,200.00",8.19,0.59,质押给中信建投证券股份有限公司,--,已到平仓线,6.94,6.07,10.85,3.05,"9,149.95",62.46,4.54,--,2016/10/14,20180719
228,000793.SZ,2016/9/29,国广环球资产管理有限公司,中信建投证券股份有限公司,"1,349.95",9.21,0.67,质押给中信建投证券股份有限公司,--,已到平仓线,6.62,5.79,10.34,3.05,"9,149.95",62.46,4.54,--,2016/10/14,20180719
229,000796.SZ,2018/2/8,海航旅游集团有限公司,宏信证券有限责任公司,13.55,0.06,0.02,"海航旅游集团有限公司质押135,520股给宏信证券有限责任公司补充质押","质押期限从2018年2月8日至2019年4月28日,延期至2019-10-28。",已到平仓线,8.26,7.22,12.9,6.28,--,--,--,2019/10/28,2019/7/13,20181009
230,000796.SZ,2016/11/28,海航航空集团有限公司,中国农业银行股份有限公司海南省分行,"1,550.00",99.98,1.93,质押给中国农业银行股份有限公司海南分行用于项目投资,2016年11月28日至2023年11月24日,已到平仓线,11.01,9.64,17.21,6.28,"1,550.00",99.98,1.93,2023/11/24,2016/11/29,20180723
